product,product_group,facility_type,reporting_month,High_Transmission_Preparation,zone_type,beginning_balance,quantity_received,quantity_dispensed,total_losses_and_adjustments,stock_in_hand,months_of_stock,stock_status,amc,quantity_approved
ACT-INF,ACT,HEALTH CENTER,May,YES,URBAN,540.0,3.0,597.0,53,201.0,3.7,Adequate,55.0,0.0
ACT-SC,ACT,HOSPITAL,February,NO,RURAL,759.0,6.0,95.0,75,802.0,7.9,Overstock,101.0,84.0
QUIN,SP,HEALTH CENTER,February,NO,URBAN,148.0,53.0,74.0,-80,90.0,5.0,Adequate,18.0,66.0
ART-SUP,ART,HEALTH CENTER,February,NO,URBAN,2846.0,108.0,517.0,-6,2088.0,15.0,Overstock,139.0,552.0
QUIN,SP,HEALTH CENTER,November,NO,URBAN,4200.0,0.0,244.0,146,458.0,0.8,Critical,560.0,1153.0
QUIN,SP,HEALTH CENTER,November,NO,RURAL,221.0,0.0,66.0,122,157.0,12.1,Overstock,13.0,0.0
SP,SP,HEALTH CENTER,November,NO,URBAN,2001.0,0.0,441.0,-301,700.0,1.1,Low,649.0,566.0
QUIN,SP,HEALTH CENTER,August,YES,RURAL,1316.0,2484.0,634.0,28,5414.0,10.5,Overstock,518.0,9788.0
ITN,PREV,HEALTH CENTER,November,NO,RURAL,1334.0,23.0,348.0,63,782.0,4.0,Adequate,194.0,62.0
PYRA-SAC,PYRA,HEALTH CENTER,May,YES,RURAL,48.0,15.0,20.0,266,28.0,2.8,Low,10.0,1529.0
QUIN,SP,HEALTH CENTER,November,NO,RURAL,532.0,26.0,120.0,-177,369.0,3.1,Adequate,120.0,4.0
ACT-INF,ACT,HEALTH CENTER,February,NO,URBAN,253.0,0.0,116.0,197,132.0,4.3,Adequate,31.0,539.0
ACT-INF,ACT,HEALTH CENTER,November,NO,RURAL,287.0,1.0,108.0,-47,275.0,0.8,Critical,335.0,0.0
ACT-SC,ACT,HEALTH CENTER,February,NO,RURAL,1162.0,0.0,71.0,-477,87.0,2.4,Low,36.0,5358.0
ACT-INF,ACT,HEALTH CENTER,February,NO,RURAL,1754.0,0.0,313.0,504,1669.0,12.6,Overstock,132.0,5239.0
RDT,DIAG,HEALTH CENTER,May,YES,RURAL,919.0,461.0,848.0,-520,857.0,1.0,Critical,847.0,502.0
RDT,DIAG,HEALTH CENTER,February,NO,RURAL,1892.0,1630.0,1101.0,-811,3004.0,6.6,Overstock,454.0,4060.0
SP,SP,HEALTH CENTER,November,NO,URBAN,2.0,58.0,93.0,594,21.0,3.0,Adequate,7.0,20.0
ART-SUP,ART,HEALTH CENTER,February,NO,URBAN,371.0,13.0,128.0,-792,182.0,0.6,Critical,323.0,841.0
ACT-AD,ACT,HEALTH CENTER,February,NO,URBAN,1501.0,322.0,788.0,-758,3829.0,7.9,Overstock,483.0,17.0
ACT-INF,ACT,HEALTH CENTER,August,YES,RURAL,871.0,0.0,102.0,-204,393.0,5.0,Adequate,78.0,980.0
ACT-SC,ACT,HOSPITAL,May,YES,RURAL,164.0,0.0,21.0,545,115.0,23.0,Overstock,5.0,607.0
PYRA-COMP,PYRA,HEALTH CENTER,February,NO,RURAL,1293.0,11.0,423.0,-624,605.0,1.5,Low,406.0,190.0
PYRA-COMP,PYRA,HEALTH CENTER,November,NO,RURAL,478.0,0.0,276.0,291,193.0,0.4,Critical,436.0,1.0
ART-SUP,ART,HEALTH CENTER,August,YES,RURAL,647.0,41.0,311.0,-96,308.0,1.3,Low,230.0,1.0
PYRA-COMP,PYRA,HEALTH CENTER,November,NO,URBAN,1342.0,6.0,257.0,288,1782.0,22.8,Overstock,78.0,120.0
ACT-INF,ACT,HEALTH CENTER,August,YES,RURAL,1372.0,0.0,143.0,-694,427.0,3.0,Adequate,144.0,0.0
ACT-GC,ACT,HOSPITAL,August,YES,RURAL,399.0,0.0,217.0,549,33.0,0.3,Critical,130.0,3.0
RDT,DIAG,HEALTH CENTER,August,YES,URBAN,1864.0,79.0,525.0,-134,1152.0,2.8,Low,412.0,1201.0
ART-INJ,ART,HEALTH CENTER,February,NO,RURAL,7.0,0.0,2.0,-107,10.0,2.0,Low,5.0,0.0
PYRA-SAC,PYRA,HEALTH CENTER,May,YES,RURAL,883.0,42.0,106.0,89,659.0,22.7,Overstock,29.0,0.0
PYRA-COMP,PYRA,HEALTH CENTER,August,YES,RURAL,1210.0,149.0,38.0,-267,1944.0,36.0,Overstock,54.0,194.0
SP,SP,HEALTH CENTER,May,YES,URBAN,254.0,44.0,153.0,-69,368.0,8.0,Overstock,46.0,55.0
ART-INJ,ART,HEALTH CENTER,February,NO,RURAL,1702.0,669.0,472.0,-139,1353.0,6.7,Overstock,203.0,709.0
ITN,PREV,HEALTH CENTER,November,NO,RURAL,11.0,33.0,36.0,307,6.0,6.0,Overstock,1.0,1.0
ACT-INF,ACT,HEALTH CENTER,May,YES,URBAN,3124.0,12.0,740.0,107,3120.0,7.6,Overstock,412.0,159.0
RDT,DIAG,HEALTH CENTER,February,NO,RURAL,15.0,1.0,70.0,425,3.0,0.0,Stockout,109.0,1.0
ART-INJ,ART,HEALTH CENTER,May,YES,RURAL,1792.0,91.0,599.0,-301,348.0,0.6,Critical,550.0,17939.0
PYRA-COMP,PYRA,HEALTH CENTER,November,NO,RURAL,379.0,772.0,122.0,653,1716.0,114.4,Overstock,15.0,0.0
QUIN,SP,HEALTH CENTER,November,NO,URBAN,117.0,4.0,37.0,-428,25.0,5.0,Adequate,5.0,85.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,2369.0,0.0,904.0,424,861.0,0.9,Critical,907.0,33.0
ART-SUP,ART,HEALTH CENTER,November,NO,RURAL,101.0,742.0,54.0,803,794.0,88.2,Overstock,9.0,68.0
PYRA-SAC,PYRA,HOSPITAL,February,NO,RURAL,15.0,90.0,43.0,139,189.0,5.7,Overstock,33.0,2019.0
RDT,DIAG,HEALTH CENTER,May,YES,RURAL,156.0,0.0,106.0,-472,77.0,4.8,Adequate,16.0,0.0
QUIN,SP,HEALTH CENTER,February,NO,URBAN,739.0,0.0,216.0,-157,494.0,4.8,Adequate,104.0,17.0
PYRA-SAC,PYRA,HEALTH CENTER,February,NO,RURAL,634.0,895.0,415.0,27,409.0,2.2,Low,186.0,52652.0
ACT-INF,ACT,HEALTH CENTER,November,NO,RURAL,453.0,34.0,128.0,473,1392.0,13.4,Overstock,104.0,1121.0
ACT-GC,ACT,HEALTH CENTER,May,YES,URBAN,65.0,1.0,109.0,-506,34.0,0.2,Critical,161.0,891.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,6327.0,874.0,418.0,-220,2793.0,9.0,Overstock,312.0,4.0
ART-SUP,ART,HEALTH CENTER,August,YES,RURAL,114.0,143.0,12.0,-518,388.0,64.7,Overstock,6.0,289.0
PYRA-SAC,PYRA,HEALTH CENTER,February,NO,URBAN,180.0,9.0,110.0,243,543.0,17.5,Overstock,31.0,522.0
SP,SP,HEALTH CENTER,February,NO,RURAL,7435.0,158.0,208.0,944,8224.0,117.5,Overstock,70.0,3.0
ACT-AD,ACT,HEALTH CENTER,May,YES,RURAL,737.0,89.0,106.0,-401,1176.0,24.0,Overstock,49.0,638.0
ART-INJ,ART,HEALTH CENTER,November,NO,RURAL,3392.0,0.0,502.0,350,5065.0,11.5,Overstock,441.0,0.0
PYRA-COMP,PYRA,HEALTH CENTER,February,NO,RURAL,861.0,4013.0,588.0,-389,3739.0,11.6,Overstock,321.0,0.0
QUIN,SP,HEALTH CENTER,August,YES,RURAL,171.0,3.0,335.0,602,494.0,3.4,Adequate,146.0,5.0
ACT-GC,ACT,HEALTH CENTER,August,YES,RURAL,299.0,811.0,492.0,82,983.0,2.8,Low,348.0,0.0
ART-SUP,ART,HEALTH CENTER,May,YES,URBAN,24.0,19.0,5.0,46,41.0,13.7,Overstock,3.0,955.0
PYRA-COMP,PYRA,HEALTH CENTER,August,YES,RURAL,2.0,2.0,2.0,-452,7.0,1.4,Low,5.0,1.0
RDT,DIAG,HEALTH CENTER,August,YES,RURAL,8616.0,0.0,1087.0,173,7677.0,9.5,Overstock,812.0,51.0
PYRA-COMP,PYRA,HEALTH CENTER,May,YES,RURAL,523.0,0.0,143.0,-142,116.0,0.9,Critical,133.0,0.0
RDT,DIAG,HEALTH CENTER,August,YES,RURAL,1443.0,51.0,61.0,-71,1608.0,43.5,Overstock,37.0,5.0
ACT-GC,ACT,HEALTH CENTER,May,YES,RURAL,1745.0,1473.0,1051.0,-715,2785.0,3.9,Adequate,719.0,1670.0
ACT-AD,ACT,HEALTH CENTER,August,YES,URBAN,1054.0,37.0,459.0,487,764.0,1.0,Critical,751.0,1303.0
ACT-SC,ACT,HEALTH CENTER,February,NO,URBAN,1999.0,81.0,564.0,94,1857.0,5.2,Overstock,354.0,174.0
ACT-SC,ACT,HEALTH CENTER,May,YES,URBAN,2048.0,10.0,672.0,474,3352.0,7.3,Overstock,460.0,0.0
PYRA-COMP,PYRA,HEALTH CENTER,November,NO,RURAL,60.0,4.0,43.0,-171,42.0,2.8,Low,15.0,0.0
RDT,DIAG,HEALTH CENTER,August,YES,RURAL,1515.0,359.0,437.0,-1009,1298.0,2.3,Low,564.0,1408.0
PYRA-COMP,PYRA,HEALTH CENTER,February,NO,RURAL,1811.0,1354.0,462.0,324,3400.0,4.0,Adequate,852.0,0.0
PYRA-SAC,PYRA,HEALTH CENTER,May,YES,RURAL,1464.0,36.0,271.0,-163,1213.0,6.7,Overstock,180.0,320.0
QUIN,SP,HEALTH CENTER,November,NO,RURAL,129.0,690.0,133.0,-326,1339.0,26.3,Overstock,51.0,0.0
ACT-INF,ACT,HEALTH CENTER,August,YES,RURAL,26.0,7.0,69.0,-19,346.0,3.7,Adequate,93.0,155.0
ACT-INF,ACT,HEALTH CENTER,November,NO,URBAN,1214.0,0.0,75.0,-578,62.0,1.5,Low,42.0,0.0
SP,SP,HOSPITAL,August,YES,URBAN,948.0,1.0,492.0,442,1572.0,13.0,Overstock,121.0,143.0
ACT-AD,ACT,HEALTH CENTER,November,NO,URBAN,142.0,62.0,74.0,1088,453.0,10.1,Overstock,45.0,174.0
PYRA-COMP,PYRA,HEALTH CENTER,February,NO,URBAN,1548.0,0.0,107.0,-325,981.0,16.4,Overstock,60.0,0.0
ACT-INF,ACT,HEALTH CENTER,August,YES,RURAL,216.0,1090.0,216.0,302,513.0,3.2,Adequate,159.0,6150.0
ACT-AD,ACT,HEALTH CENTER,May,YES,RURAL,3082.0,137.0,257.0,166,3165.0,13.1,Overstock,242.0,0.0
ACT-SC,ACT,HEALTH CENTER,February,NO,RURAL,974.0,1.0,161.0,582,1543.0,21.7,Overstock,71.0,0.0
ART-INJ,ART,HEALTH CENTER,November,NO,RURAL,566.0,1845.0,307.0,-638,288.0,1.2,Low,232.0,49.0
ACT-SC,ACT,HEALTH CENTER,May,YES,RURAL,760.0,270.0,267.0,232,538.0,9.1,Overstock,59.0,58.0
RDT,DIAG,HEALTH CENTER,February,NO,RURAL,731.0,2.0,425.0,-933,227.0,0.4,Critical,521.0,7258.0
ART-SUP,ART,HEALTH CENTER,May,YES,RURAL,1444.0,245.0,648.0,-118,1423.0,4.0,Adequate,357.0,90.0
QUIN,SP,HEALTH CENTER,November,NO,RURAL,47.0,1185.0,109.0,81,24.0,0.3,Critical,85.0,3451.0
RDT,DIAG,HEALTH CENTER,August,YES,URBAN,1003.0,124.0,659.0,375,1186.0,3.2,Adequate,375.0,3727.0
RDT,DIAG,HEALTH CENTER,November,NO,RURAL,707.0,30.0,63.0,-738,1279.0,31.2,Overstock,41.0,0.0
ACT-SC,ACT,HEALTH CENTER,August,YES,URBAN,487.0,272.0,15.0,-17,113.0,1.5,Low,76.0,240.0
ACT-AD,ACT,HEALTH CENTER,November,NO,RURAL,572.0,11.0,54.0,-360,530.0,11.0,Overstock,48.0,28.0
QUIN,SP,HEALTH CENTER,August,YES,RURAL,889.0,0.0,332.0,411,772.0,2.2,Low,351.0,66.0
PYRA-COMP,PYRA,HEALTH CENTER,May,YES,RURAL,2543.0,126.0,465.0,273,1380.0,1.7,Low,791.0,31.0
RDT,DIAG,HEALTH CENTER,May,YES,RURAL,713.0,0.0,18.0,-1091,91.0,2.5,Low,37.0,3062.0
QUIN,SP,HEALTH CENTER,February,NO,URBAN,293.0,747.0,387.0,273,750.0,1.8,Low,418.0,0.0
PYRA-SAC,PYRA,HEALTH CENTER,February,NO,RURAL,1118.0,717.0,553.0,-610,2031.0,5.4,Overstock,377.0,309.0
RDT,DIAG,HEALTH CENTER,August,YES,RURAL,1.0,107.0,0.0,-300,3.0,3.0,Adequate,1.0,0.0
ACT-GC,ACT,HEALTH CENTER,May,YES,URBAN,1084.0,116.0,385.0,-19,2452.0,3.4,Adequate,727.0,7.0
ACT-AD,ACT,HEALTH CENTER,February,NO,URBAN,1159.0,447.0,235.0,-377,2351.0,16.6,Overstock,142.0,0.0
ART-INJ,ART,HEALTH CENTER,February,NO,URBAN,1555.0,22.0,145.0,-50,386.0,2.8,Low,139.0,234.0
SP,SP,HEALTH CENTER,November,NO,URBAN,6733.0,22.0,2432.0,-463,4571.0,1.2,Low,3824.0,131.0
SP,SP,HEALTH CENTER,November,NO,RURAL,43.0,0.0,81.0,84,301.0,14.3,Overstock,21.0,1485.0
ACT-INF,ACT,HEALTH CENTER,February,NO,RURAL,179.0,0.0,23.0,-264,26.0,3.7,Adequate,7.0,1382.0
PYRA-COMP,PYRA,HEALTH CENTER,February,NO,RURAL,53.0,428.0,75.0,670,252.0,5.1,Overstock,49.0,575.0
ART-INJ,ART,HEALTH CENTER,November,NO,URBAN,490.0,4.0,208.0,-137,1185.0,16.5,Overstock,72.0,2.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,1610.0,71.0,394.0,-4,657.0,1.1,Low,594.0,2313.0
ACT-GC,ACT,HEALTH CENTER,February,NO,RURAL,2385.0,54.0,656.0,-95,4927.0,10.0,Overstock,495.0,1.0
ACT-AD,ACT,HEALTH CENTER,November,NO,RURAL,10.0,71.0,3.0,-647,54.0,54.0,Overstock,1.0,16.0
PYRA-SAC,PYRA,HEALTH CENTER,August,YES,RURAL,158.0,350.0,75.0,1051,710.0,27.3,Overstock,26.0,1293.0
PYRA-COMP,PYRA,HEALTH CENTER,May,YES,RURAL,56.0,28.0,59.0,70,166.0,4.9,Adequate,34.0,528.0
RDT,DIAG,HEALTH CENTER,May,YES,RURAL,4149.0,34.0,344.0,964,4812.0,5.9,Overstock,812.0,1133.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,652.0,55.0,114.0,-563,765.0,6.7,Overstock,114.0,0.0
RDT,DIAG,HEALTH CENTER,February,NO,URBAN,768.0,3.0,88.0,-122,75.0,4.2,Adequate,18.0,2.0
ITN,PREV,HEALTH CENTER,August,YES,RURAL,545.0,228.0,62.0,68,289.0,48.2,Overstock,6.0,1195.0
PYRA-SAC,PYRA,HEALTH CENTER,November,NO,RURAL,424.0,788.0,443.0,879,181.0,0.7,Critical,269.0,156.0
ITN,PREV,HEALTH CENTER,August,YES,RURAL,401.0,40.0,73.0,-128,202.0,1.7,Low,116.0,120.0
PYRA-SAC,PYRA,HEALTH CENTER,August,YES,RURAL,3288.0,5.0,501.0,136,2219.0,8.2,Overstock,269.0,82.0
ACT-SC,ACT,HEALTH CENTER,November,NO,URBAN,2804.0,26.0,565.0,-852,1261.0,5.3,Overstock,239.0,2.0
QUIN,SP,HEALTH CENTER,May,YES,RURAL,669.0,0.0,135.0,-244,443.0,5.0,Adequate,88.0,1.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,103.0,280.0,124.0,-602,323.0,4.8,Adequate,67.0,1056.0
PYRA-SAC,PYRA,HOSPITAL,February,NO,RURAL,872.0,589.0,467.0,804,3697.0,6.0,Overstock,615.0,3.0
ACT-AD,ACT,HEALTH CENTER,November,NO,URBAN,516.0,37.0,376.0,-788,570.0,2.0,Low,283.0,36.0
ACT-AD,ACT,HOSPITAL,May,YES,URBAN,551.0,26.0,51.0,-547,634.0,17.1,Overstock,37.0,130.0
SP,SP,HEALTH CENTER,August,YES,RURAL,1669.0,2.0,320.0,-335,1412.0,2.2,Low,653.0,10.0
ACT-SC,ACT,HEALTH CENTER,February,NO,RURAL,4646.0,0.0,544.0,-281,1670.0,11.2,Overstock,149.0,1007.0
ART-SUP,ART,HEALTH CENTER,August,YES,RURAL,164.0,7.0,8.0,-119,882.0,98.0,Overstock,9.0,0.0
QUIN,SP,HEALTH CENTER,February,NO,RURAL,10615.0,9.0,1559.0,766,10306.0,9.5,Overstock,1090.0,4400.0
ACT-GC,ACT,HEALTH CENTER,August,YES,URBAN,508.0,0.0,49.0,-587,261.0,0.9,Critical,282.0,25.0
ART-SUP,ART,HEALTH CENTER,August,YES,RURAL,2168.0,379.0,309.0,545,2960.0,15.3,Overstock,193.0,0.0
ACT-GC,ACT,HEALTH CENTER,August,YES,RURAL,2483.0,1.0,2291.0,-158,3737.0,2.6,Low,1437.0,3960.0
ACT-SC,ACT,HEALTH CENTER,May,YES,RURAL,10.0,0.0,1.0,764,4.0,0.4,Critical,11.0,5.0
SP,SP,HEALTH CENTER,August,YES,URBAN,1562.0,44.0,82.0,-12,1252.0,19.6,Overstock,64.0,0.0
ART-SUP,ART,HEALTH CENTER,February,NO,RURAL,1517.0,156.0,383.0,-90,786.0,5.4,Overstock,145.0,151.0
ACT-GC,ACT,HEALTH CENTER,February,NO,RURAL,524.0,1.0,152.0,-140,661.0,33.0,Overstock,20.0,0.0
PYRA-SAC,PYRA,HEALTH CENTER,August,YES,URBAN,26.0,126.0,21.0,-10,6.0,6.0,Overstock,1.0,610.0
PYRA-SAC,PYRA,HEALTH CENTER,May,YES,URBAN,1105.0,1438.0,400.0,-100,266.0,0.9,Critical,296.0,192.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,2312.0,270.0,693.0,-242,3530.0,4.8,Adequate,728.0,660.0
SP,SP,HEALTH CENTER,May,YES,URBAN,41.0,0.0,42.0,268,5.0,0.1,Critical,37.0,29.0
ACT-GC,ACT,HEALTH CENTER,November,NO,URBAN,563.0,0.0,6.0,-131,296.0,49.3,Overstock,6.0,0.0
ACT-SC,ACT,HEALTH CENTER,November,NO,URBAN,1022.0,0.0,19.0,118,1033.0,103.3,Overstock,10.0,55.0
ACT-AD,ACT,HEALTH CENTER,August,YES,RURAL,77.0,0.0,98.0,349,4.0,0.0,Stockout,102.0,1633.0
ART-INJ,ART,HEALTH CENTER,May,YES,URBAN,1274.0,263.0,277.0,237,446.0,1.1,Low,419.0,158.0
QUIN,SP,HOSPITAL,May,YES,RURAL,302.0,11.0,2.0,-144,76.0,38.0,Overstock,2.0,0.0
PYRA-SAC,PYRA,HEALTH CENTER,May,YES,RURAL,36.0,428.0,2.0,177,300.0,,Unknown,0.0,1.0
ITN,PREV,HEALTH CENTER,August,YES,RURAL,482.0,9.0,6.0,-299,225.0,225.0,Overstock,1.0,0.0
SP,SP,HOSPITAL,November,NO,RURAL,65.0,5.0,65.0,119,139.0,1.1,Low,121.0,17.0
ART-INJ,ART,HEALTH CENTER,August,YES,URBAN,3036.0,4.0,599.0,-349,1820.0,2.6,Low,708.0,0.0
SP,SP,HEALTH CENTER,August,YES,RURAL,657.0,33.0,108.0,-482,1715.0,7.1,Overstock,240.0,0.0
ART-SUP,ART,HEALTH CENTER,May,YES,RURAL,1697.0,107.0,338.0,287,1715.0,24.5,Overstock,70.0,358.0
ACT-SC,ACT,HEALTH CENTER,August,YES,URBAN,1779.0,598.0,1047.0,551,1393.0,2.1,Low,667.0,7726.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,341.0,166.0,182.0,329,597.0,6.2,Overstock,96.0,0.0
ACT-AD,ACT,HEALTH CENTER,August,YES,URBAN,1660.0,3.0,312.0,-78,3450.0,10.5,Overstock,330.0,4.0
PYRA-SAC,PYRA,HOSPITAL,February,NO,RURAL,407.0,112.0,320.0,-223,1455.0,7.9,Overstock,184.0,3189.0
ITN,PREV,HEALTH CENTER,May,YES,URBAN,313.0,41.0,285.0,-187,501.0,1.5,Low,327.0,1172.0
ART-SUP,ART,HEALTH CENTER,August,YES,RURAL,5382.0,18.0,473.0,-198,1604.0,9.4,Overstock,171.0,21.0
PYRA-SAC,PYRA,HEALTH CENTER,November,NO,RURAL,1790.0,10.0,158.0,459,642.0,6.1,Overstock,106.0,113.0
QUIN,SP,HOSPITAL,November,NO,RURAL,244.0,0.0,175.0,365,1512.0,20.4,Overstock,74.0,1.0
ART-INJ,ART,HEALTH CENTER,August,YES,URBAN,564.0,0.0,142.0,756,571.0,3.4,Adequate,170.0,99.0
ACT-GC,ACT,HEALTH CENTER,May,YES,RURAL,1908.0,13.0,650.0,-664,1220.0,1.8,Low,685.0,85.0
ACT-SC,ACT,HEALTH CENTER,February,NO,RURAL,1.0,4.0,0.0,561,76.0,,Unknown,0.0,0.0
PYRA-COMP,PYRA,HEALTH CENTER,August,YES,RURAL,2.0,88.0,14.0,361,6.0,2.0,Low,3.0,1.0
QUIN,SP,HEALTH CENTER,August,YES,URBAN,201.0,0.0,102.0,-485,203.0,2.2,Low,94.0,49.0
QUIN,SP,HEALTH CENTER,August,YES,URBAN,412.0,387.0,101.0,-690,1184.0,24.2,Overstock,49.0,0.0
SP,SP,HEALTH CENTER,February,NO,RURAL,2341.0,0.0,271.0,846,899.0,5.4,Overstock,167.0,39.0
ACT-AD,ACT,HEALTH CENTER,November,NO,RURAL,1308.0,901.0,1466.0,-189,2790.0,4.0,Adequate,690.0,5535.0
ART-SUP,ART,HEALTH CENTER,May,YES,RURAL,51.0,133.0,125.0,-129,40.0,0.5,Critical,87.0,2363.0
ART-SUP,ART,HEALTH CENTER,August,YES,URBAN,238.0,80.0,303.0,240,1527.0,3.1,Adequate,489.0,0.0
ACT-INF,ACT,HOSPITAL,May,YES,URBAN,718.0,2.0,223.0,120,959.0,7.3,Overstock,131.0,167.0
PYRA-SAC,PYRA,HEALTH CENTER,August,YES,URBAN,867.0,19.0,130.0,378,467.0,4.0,Adequate,118.0,0.0
ITN,PREV,HEALTH CENTER,February,NO,URBAN,492.0,0.0,108.0,475,248.0,49.6,Overstock,5.0,0.0
SP,SP,HEALTH CENTER,August,YES,URBAN,498.0,30.0,104.0,421,448.0,16.6,Overstock,27.0,162.0
ITN,PREV,HEALTH CENTER,November,NO,URBAN,812.0,517.0,337.0,283,900.0,10.0,Overstock,90.0,269.0
QUIN,SP,HEALTH CENTER,November,NO,RURAL,1524.0,0.0,9.0,-478,402.0,,Unknown,0.0,0.0
ACT-INF,ACT,HEALTH CENTER,August,YES,URBAN,933.0,0.0,61.0,-9,781.0,5.8,Overstock,134.0,587.0
ART-SUP,ART,HEALTH CENTER,November,NO,URBAN,697.0,0.0,58.0,-743,1095.0,11.5,Overstock,95.0,0.0
ACT-INF,ACT,HEALTH CENTER,February,NO,RURAL,258.0,0.0,111.0,-130,997.0,3.4,Adequate,293.0,312.0
ACT-SC,ACT,HEALTH CENTER,November,NO,URBAN,2613.0,94.0,763.0,655,3875.0,5.8,Overstock,670.0,7.0
PYRA-SAC,PYRA,HEALTH CENTER,November,NO,RURAL,29.0,4.0,86.0,1206,43.0,0.7,Critical,62.0,768.0
PYRA-COMP,PYRA,HEALTH CENTER,May,YES,RURAL,1161.0,0.0,75.0,-467,116.0,2.6,Low,45.0,2098.0
ACT-SC,ACT,HOSPITAL,November,NO,RURAL,2095.0,102.0,424.0,-852,851.0,5.7,Overstock,150.0,4233.0
SP,SP,HEALTH CENTER,November,NO,RURAL,1473.0,6.0,479.0,541,2755.0,5.8,Overstock,477.0,3.0
SP,SP,HEALTH CENTER,February,NO,URBAN,2.0,0.0,0.0,-847,5.0,,Unknown,0.0,7.0
QUIN,SP,HEALTH CENTER,February,NO,RURAL,1739.0,0.0,192.0,279,1582.0,11.2,Overstock,141.0,4.0
ART-INJ,ART,HEALTH CENTER,August,YES,RURAL,2009.0,217.0,555.0,506,4241.0,9.5,Overstock,447.0,116.0
ART-SUP,ART,HEALTH CENTER,August,YES,URBAN,14.0,298.0,174.0,-929,148.0,1.1,Low,132.0,3676.0
QUIN,SP,HEALTH CENTER,November,NO,RURAL,38.0,1.0,71.0,-332,42.0,0.4,Critical,114.0,4.0
ITN,PREV,HEALTH CENTER,February,NO,RURAL,638.0,0.0,135.0,190,1262.0,30.8,Overstock,41.0,39.0
PYRA-COMP,PYRA,HEALTH CENTER,May,YES,URBAN,317.0,0.0,21.0,262,186.0,31.0,Overstock,6.0,27.0
ACT-AD,ACT,HEALTH CENTER,August,YES,URBAN,1889.0,0.0,186.0,107,883.0,6.3,Overstock,141.0,25.0
ART-INJ,ART,HEALTH CENTER,November,NO,RURAL,3652.0,773.0,312.0,-135,1462.0,5.7,Overstock,257.0,1283.0
ITN,PREV,HEALTH CENTER,November,NO,RURAL,123.0,0.0,21.0,-167,163.0,16.3,Overstock,10.0,37.0
SP,SP,HEALTH CENTER,August,YES,URBAN,41.0,0.0,59.0,-631,17.0,0.4,Critical,46.0,0.0
RDT,DIAG,HEALTH CENTER,August,YES,URBAN,272.0,0.0,4.0,-783,168.0,168.0,Overstock,1.0,19.0
PYRA-COMP,PYRA,HEALTH CENTER,August,YES,URBAN,721.0,1.0,160.0,-787,522.0,6.0,Overstock,87.0,319.0
PYRA-SAC,PYRA,HEALTH CENTER,February,NO,URBAN,697.0,100.0,48.0,240,975.0,60.9,Overstock,16.0,805.0
ITN,PREV,HEALTH CENTER,August,YES,RURAL,477.0,185.0,18.0,52,639.0,319.5,Overstock,2.0,1.0
PYRA-COMP,PYRA,HEALTH CENTER,August,YES,RURAL,1867.0,6.0,95.0,236,1140.0,40.7,Overstock,28.0,0.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,6972.0,1234.0,990.0,-496,9509.0,18.1,Overstock,526.0,0.0
ART-SUP,ART,HEALTH CENTER,August,YES,RURAL,1955.0,0.0,124.0,-317,688.0,4.8,Adequate,144.0,197.0
ACT-GC,ACT,HEALTH CENTER,May,YES,RURAL,2322.0,1.0,596.0,42,1485.0,8.5,Overstock,174.0,3772.0
ACT-INF,ACT,HEALTH CENTER,November,NO,URBAN,628.0,0.0,135.0,3,159.0,9.9,Overstock,16.0,0.0
RDT,DIAG,HEALTH CENTER,May,YES,URBAN,1118.0,577.0,278.0,-507,1032.0,1.8,Low,573.0,0.0
ART-INJ,ART,HEALTH CENTER,November,NO,RURAL,11948.0,18.0,2023.0,-291,7450.0,4.4,Adequate,1696.0,5609.0
ART-SUP,ART,HEALTH CENTER,February,NO,RURAL,555.0,1.0,382.0,44,718.0,1.3,Low,553.0,433.0
ITN,PREV,HEALTH CENTER,August,YES,RURAL,1106.0,1.0,519.0,401,209.0,0.8,Critical,249.0,3559.0
ACT-GC,ACT,HEALTH CENTER,August,YES,RURAL,3177.0,0.0,354.0,-246,2553.0,7.4,Overstock,343.0,27.0
RDT,DIAG,HEALTH CENTER,August,YES,URBAN,62.0,5.0,10.0,-250,115.0,7.2,Overstock,16.0,138.0
ART-SUP,ART,HEALTH CENTER,August,YES,RURAL,1443.0,1498.0,87.0,-81,1688.0,15.5,Overstock,109.0,1115.0
SP,SP,HEALTH CENTER,November,NO,RURAL,6412.0,31.0,993.0,50,9323.0,6.1,Overstock,1527.0,1.0
ART-SUP,ART,HEALTH CENTER,May,YES,RURAL,2052.0,2.0,83.0,155,3769.0,56.3,Overstock,67.0,0.0
RDT,DIAG,HEALTH CENTER,May,YES,RURAL,292.0,0.0,34.0,-161,92.0,6.6,Overstock,14.0,2.0
RDT,DIAG,HEALTH CENTER,November,NO,URBAN,719.0,70.0,67.0,230,1710.0,53.4,Overstock,32.0,305.0
