product_primary_name,processing_periods_name,facility_type_name,beginning_balance,quantity_received,quantity_dispensed,stock_in_hand,quantity_requested,quantity_approved,total_losses_and_adjustments,amc,pack_size,zone,dispensing_unit,diff
ACT-GC,2025-08-01,HEALTH CENTER,224.0,0.0,91.0,10.0,,655.0,333,26.0,30,DISTRICT13,BLISTER,655.0
ITN,2025-02-01,HEALTH CENTER,64.0,0.0,15.0,50.0,820.0,23.0,97,13.0,50,DISTRICT15,PIECE,-797.0
ACT-INF,2024-11-01,DISTRICT HOSPITAL,180.0,22.0,60.0,352.0,,0.0,-564,24.0,30,DISTRICT1,BLISTER,0.0
ART-INJ,2024-02-01,HEALTH CENTER,766.0,220.0,118.0,3191.0,314.0,152.0,439,94.0,5,DISTRICT36,VIAL,-162.0
RDT,2025-05-01,HEALTH CENTER,4645.0,2.0,753.0,2517.0,,2.0,125,483.0,25,DISTRICT12,PIECE,2.0
QUIN,2025-05-01,HEALTH CENTER,2672.0,0.0,222.0,2048.0,1638.0,247.0,177,399.0,1000,DISTRICT33,TABLET,-1391.0
ART-INJ,2024-02-01,HEALTH CENTER,1355.0,0.0,47.0,632.0,,2.0,87,60.0,5,DISTRICT29,VIAL,2.0
ITN,2025-05-01,HEALTH CENTER,641.0,230.0,1208.0,739.0,,19766.0,-114,874.0,50,DISTRICT15,PIECE,19766.0
ACT-GC,2024-05-01,HEALTH CENTER,330.0,0.0,5.0,49.0,,0.0,198,0.0,30,DISTRICT20,BLISTER,0.0
PYRA-SAC,2025-05-01,HEALTH CENTER,43.0,1.0,16.0,100.0,,1164.0,-114,15.0,1,DISTRICT9,SACHET,1164.0
ART-SUP,2024-02-01,HEALTH CENTER,972.0,155.0,384.0,2594.0,,58.0,526,363.0,2,DISTRICT36,CAPSULE,58.0
PYRA-SAC,2024-05-01,HEALTH CENTER,50.0,6.0,4.0,47.0,828.0,7.0,160,6.0,1,DISTRICT29,SACHET,-821.0
SP,2025-08-01,HEALTH CENTER,821.0,119.0,145.0,908.0,,17.0,56,34.0,1000,DISTRICT31,TABLET,17.0
ART-INJ,2025-08-01,HEALTH CENTER,259.0,74.0,250.0,751.0,,356.0,-361,76.0,5,DISTRICT29,VIAL,356.0
ITN,2024-08-01,HEALTH CENTER,1068.0,1.0,146.0,1193.0,,0.0,-738,8.0,50,DISTRICT3,PIECE,0.0
PYRA-COMP,2024-02-01,HEALTH CENTER,8.0,499.0,46.0,33.0,,0.0,989,89.0,1,DISTRICT21,TABLET,0.0
ACT-INF,2024-02-01,HEALTH CENTER,1229.0,614.0,604.0,2224.0,1626.0,0.0,-550,273.0,30,DISTRICT33,BLISTER,-1626.0
ART-SUP,2024-11-01,HEALTH CENTER,1435.0,12.0,438.0,1244.0,,1026.0,-198,393.0,2,DISTRICT15,CAPSULE,1026.0
SP,2025-02-01,HEALTH CENTER,312.0,1565.0,545.0,2393.0,,0.0,81,347.0,1000,DISTRICT25,TABLET,0.0
ART-SUP,2025-08-01,DISTRICT HOSPITAL,273.0,48.0,256.0,1599.0,340.0,25.0,-176,227.0,2,DISTRICT13,CAPSULE,-315.0
ACT-INF,2024-05-01,HEALTH CENTER,646.0,306.0,719.0,998.0,,1569.0,-318,751.0,30,DISTRICT24,BLISTER,1569.0
ACT-GC,2024-02-01,HEALTH CENTER,232.0,0.0,37.0,316.0,,1.0,118,56.0,30,DISTRICT9,BLISTER,1.0
ART-SUP,2024-08-01,HEALTH CENTER,2912.0,490.0,1321.0,5014.0,754.0,64.0,666,961.0,2,DISTRICT20,CAPSULE,-690.0
QUIN,2024-11-01,HEALTH CENTER,621.0,106.0,152.0,673.0,,0.0,635,41.0,1000,DISTRICT33,TABLET,0.0
ITN,2025-08-01,HEALTH CENTER,51.0,4.0,91.0,69.0,431.0,1732.0,276,282.0,50,DISTRICT28,PIECE,1301.0
ACT-SC,2025-05-01,HEALTH CENTER,1613.0,0.0,373.0,548.0,601.0,4512.0,58,305.0,30,DISTRICT23,BLISTER,3911.0
QUIN,2024-11-01,HEALTH CENTER,41.0,31.0,12.0,257.0,,1420.0,54,126.0,1000,DISTRICT17,TABLET,1420.0
ITN,2024-05-01,HEALTH CENTER,1508.0,778.0,932.0,1850.0,,3875.0,-45,429.0,50,DISTRICT28,PIECE,3875.0
ART-SUP,2024-02-01,HEALTH CENTER,485.0,0.0,194.0,756.0,,2197.0,-12,459.0,2,DISTRICT26,CAPSULE,2197.0
SP,2025-02-01,HEALTH CENTER,1690.0,168.0,417.0,5259.0,,0.0,-82,251.0,1000,DISTRICT20,TABLET,0.0
QUIN,2025-11-01,HEALTH CENTER,3433.0,0.0,493.0,1867.0,143.0,104.0,508,195.0,1000,DISTRICT12,TABLET,-39.0
PYRA-COMP,2024-02-01,HEALTH CENTER,871.0,4.0,109.0,843.0,1731.0,58.0,966,100.0,1,DISTRICT21,TABLET,-1673.0
ART-INJ,2024-02-01,HEALTH CENTER,1651.0,82.0,355.0,1203.0,,0.0,-877,242.0,5,DISTRICT7,VIAL,0.0
SP,2024-02-01,HEALTH CENTER,356.0,726.0,113.0,598.0,,2.0,415,82.0,1000,DISTRICT10,TABLET,2.0
ACT-SC,2024-02-01,HEALTH CENTER,6.0,188.0,3.0,640.0,,0.0,-300,1.0,30,DISTRICT35,BLISTER,0.0
ITN,2025-08-01,HEALTH CENTER,1039.0,208.0,439.0,1090.0,,0.0,-899,284.0,50,DISTRICT13,PIECE,0.0
PYRA-COMP,2025-02-01,HEALTH CENTER,199.0,24.0,78.0,284.0,,130.0,469,52.0,1,DISTRICT21,TABLET,130.0
SP,2025-02-01,HEALTH CENTER,85.0,33.0,13.0,40.0,,30.0,178,16.0,1000,DISTRICT36,TABLET,30.0
PYRA-SAC,2025-08-01,HEALTH CENTER,886.0,61.0,357.0,2957.0,,1.0,-109,487.0,1,DISTRICT29,SACHET,1.0
ART-INJ,2024-11-01,HEALTH CENTER,22.0,49.0,32.0,82.0,,1.0,-229,6.0,5,DISTRICT23,VIAL,1.0
ACT-AD,2024-02-01,HEALTH CENTER,3669.0,5.0,377.0,761.0,,0.0,-254,377.0,30,DISTRICT30,BLISTER,0.0
ACT-AD,2024-08-01,HEALTH CENTER,923.0,0.0,27.0,191.0,,333.0,183,62.0,30,DISTRICT28,BLISTER,333.0
SP,2025-02-01,HEALTH CENTER,238.0,0.0,26.0,161.0,300.0,0.0,102,8.0,1000,DISTRICT26,TABLET,-300.0
QUIN,2024-02-01,HEALTH CENTER,603.0,31.0,913.0,472.0,1700.0,112.0,-209,645.0,1000,DISTRICT19,TABLET,-1588.0
RDT,2024-05-01,HEALTH CENTER,16.0,2158.0,24.0,926.0,,1.0,-242,48.0,25,DISTRICT5,PIECE,1.0
ACT-AD,2025-08-01,HEALTH CENTER,710.0,3133.0,374.0,4396.0,916.0,1.0,-56,689.0,30,DISTRICT31,BLISTER,-915.0
ACT-AD,2025-05-01,HEALTH CENTER,761.0,3473.0,119.0,403.0,664.0,225.0,-47,10.0,30,DISTRICT28,BLISTER,-439.0
ART-INJ,2025-08-01,HEALTH CENTER,1316.0,1559.0,218.0,1914.0,1006.0,0.0,-374,136.0,5,DISTRICT10,VIAL,-1006.0
ACT-SC,2024-02-01,HEALTH CENTER,1420.0,34.0,675.0,179.0,1987.0,7553.0,178,393.0,30,DISTRICT19,BLISTER,5566.0
ACT-INF,2025-05-01,HEALTH CENTER,1492.0,638.0,487.0,1970.0,594.0,0.0,297,136.0,30,DISTRICT8,BLISTER,-594.0
ACT-AD,2024-11-01,HEALTH CENTER,314.0,236.0,118.0,867.0,,3060.0,-15,365.0,30,DISTRICT33,BLISTER,3060.0
ITN,2024-11-01,HEALTH CENTER,502.0,4.0,225.0,1209.0,,0.0,-449,151.0,50,DISTRICT26,PIECE,0.0
QUIN,2025-05-01,HEALTH CENTER,2183.0,1.0,646.0,2092.0,,2459.0,1078,885.0,1000,DISTRICT15,TABLET,2459.0
RDT,2024-08-01,HEALTH CENTER,1227.0,62.0,463.0,3513.0,1196.0,11.0,486,204.0,25,DISTRICT16,PIECE,-1185.0
ART-SUP,2025-02-01,HEALTH CENTER,35.0,547.0,72.0,462.0,,0.0,-548,113.0,2,DISTRICT36,CAPSULE,0.0
ACT-SC,2024-05-01,HEALTH CENTER,144.0,7.0,15.0,598.0,,5.0,1088,10.0,30,DISTRICT32,BLISTER,5.0
PYRA-SAC,2024-08-01,HEALTH CENTER,1593.0,434.0,547.0,1157.0,586.0,729.0,-243,585.0,1,DISTRICT25,SACHET,143.0
QUIN,2025-11-01,HEALTH CENTER,2479.0,11.0,113.0,3192.0,541.0,0.0,53,90.0,1000,DISTRICT28,TABLET,-541.0
ACT-SC,2025-02-01,HEALTH CENTER,2142.0,868.0,1458.0,4479.0,1199.0,1367.0,-271,2603.0,30,DISTRICT29,BLISTER,168.0
RDT,2024-05-01,HEALTH CENTER,141.0,3.0,5.0,80.0,,0.0,-15,2.0,25,DISTRICT31,PIECE,0.0
ART-SUP,2024-05-01,HEALTH CENTER,50.0,5.0,56.0,45.0,,0.0,561,33.0,2,DISTRICT23,CAPSULE,0.0
SP,2025-08-01,HEALTH CENTER,3729.0,1.0,803.0,2787.0,,3050.0,280,1190.0,1000,DISTRICT11,TABLET,3050.0
ACT-INF,2025-11-01,HEALTH CENTER,58.0,0.0,1.0,164.0,,0.0,-115,0.0,30,DISTRICT18,BLISTER,0.0
PYRA-SAC,2024-08-01,HEALTH CENTER,572.0,14.0,179.0,546.0,1232.0,26.0,106,79.0,1,DISTRICT31,SACHET,-1206.0
PYRA-SAC,2024-05-01,HEALTH CENTER,1171.0,196.0,797.0,1905.0,645.0,0.0,-276,490.0,1,DISTRICT26,SACHET,-645.0
ART-SUP,2025-05-01,HEALTH CENTER,698.0,233.0,570.0,212.0,1720.0,8104.0,594,1159.0,2,DISTRICT28,CAPSULE,6384.0
ACT-SC,2024-02-01,HEALTH CENTER,211.0,2.0,34.0,415.0,,6.0,202,15.0,30,DISTRICT35,BLISTER,6.0
ART-INJ,2024-11-01,HEALTH CENTER,431.0,24.0,28.0,538.0,,1.0,191,6.0,5,DISTRICT19,VIAL,1.0
ACT-INF,2024-02-01,HEALTH CENTER,451.0,127.0,42.0,570.0,,2.0,-6,35.0,30,DISTRICT28,BLISTER,2.0
ACT-GC,2025-05-01,HEALTH CENTER,5.0,0.0,0.0,55.0,,0.0,195,0.0,30,DISTRICT16,BLISTER,0.0
ART-SUP,2025-08-01,HEALTH CENTER,401.0,113.0,191.0,857.0,,4452.0,-156,80.0,2,DISTRICT32,CAPSULE,4452.0
ART-SUP,2025-05-01,HEALTH CENTER,5207.0,636.0,927.0,3611.0,,785.0,-49,539.0,2,DISTRICT33,CAPSULE,785.0
PYRA-SAC,2025-05-01,HEALTH CENTER,71.0,0.0,12.0,40.0,1043.0,0.0,342,10.0,1,DISTRICT36,SACHET,-1043.0
ACT-AD,2024-11-01,HEALTH CENTER,2207.0,0.0,230.0,585.0,,1647.0,667,135.0,30,DISTRICT13,BLISTER,1647.0
ART-SUP,2025-11-01,HEALTH CENTER,48.0,28.0,16.0,184.0,,11.0,-198,4.0,2,DISTRICT25,CAPSULE,11.0
RDT,2024-08-01,HEALTH CENTER,4212.0,1474.0,1052.0,6159.0,,187.0,-492,1661.0,25,DISTRICT23,PIECE,187.0
ACT-INF,2024-08-01,HEALTH CENTER,905.0,443.0,368.0,715.0,,74.0,-215,475.0,30,DISTRICT28,BLISTER,74.0
QUIN,2025-08-01,HEALTH CENTER,31.0,189.0,74.0,269.0,,0.0,239,15.0,1000,DISTRICT21,TABLET,0.0
ITN,2025-08-01,HEALTH CENTER,4841.0,9.0,1045.0,1442.0,,6205.0,348,1377.0,50,DISTRICT2,PIECE,6205.0
ACT-SC,2024-11-01,HEALTH CENTER,37.0,96.0,20.0,77.0,,138.0,-335,5.0,30,DISTRICT20,BLISTER,138.0
ACT-GC,2025-02-01,HEALTH CENTER,2023.0,0.0,596.0,1211.0,300.0,513.0,-118,364.0,30,DISTRICT21,BLISTER,213.0
ACT-AD,2024-05-01,DISTRICT HOSPITAL,664.0,84.0,199.0,343.0,,1.0,-188,121.0,30,DISTRICT28,BLISTER,1.0
QUIN,2024-05-01,HEALTH CENTER,766.0,0.0,208.0,593.0,,1192.0,521,20.0,1000,DISTRICT35,TABLET,1192.0
ACT-GC,2025-02-01,HEALTH CENTER,1386.0,4.0,70.0,3052.0,,0.0,309,19.0,30,DISTRICT31,BLISTER,0.0
PYRA-COMP,2024-05-01,DISTRICT HOSPITAL,3187.0,36.0,464.0,2144.0,,939.0,349,358.0,1,DISTRICT9,TABLET,939.0
QUIN,2025-08-01,HEALTH CENTER,2152.0,3.0,673.0,519.0,,1905.0,-338,716.0,1000,DISTRICT31,TABLET,1905.0
ACT-SC,2024-11-01,HEALTH CENTER,2228.0,0.0,612.0,1885.0,,1.0,-200,534.0,30,DISTRICT32,BLISTER,1.0
ART-SUP,2025-08-01,HEALTH CENTER,103.0,125.0,383.0,121.0,659.0,8314.0,-98,261.0,2,DISTRICT22,CAPSULE,7655.0
SP,2024-08-01,HEALTH CENTER,298.0,4.0,191.0,158.0,354.0,65.0,-575,35.0,1000,DISTRICT29,TABLET,-289.0
PYRA-COMP,2025-08-01,HEALTH CENTER,6330.0,1807.0,1273.0,7549.0,,12.0,-269,1037.0,1,DISTRICT16,TABLET,12.0
QUIN,2025-05-01,HEALTH CENTER,842.0,0.0,317.0,152.0,,2291.0,362,544.0,1000,DISTRICT22,TABLET,2291.0
ACT-INF,2024-02-01,HEALTH CENTER,578.0,0.0,98.0,1178.0,,0.0,22,34.0,30,DISTRICT35,BLISTER,0.0
SP,2024-05-01,HEALTH CENTER,322.0,8.0,390.0,565.0,,372.0,288,303.0,1000,DISTRICT31,TABLET,372.0
ACT-AD,2025-11-01,DISTRICT HOSPITAL,1491.0,20.0,66.0,547.0,1110.0,74.0,-793,15.0,30,DISTRICT31,BLISTER,-1036.0
ACT-GC,2024-08-01,HEALTH CENTER,3086.0,0.0,235.0,1238.0,,1473.0,-812,325.0,30,DISTRICT16,BLISTER,1473.0
ART-INJ,2025-11-01,HEALTH CENTER,294.0,92.0,281.0,528.0,,16.0,15,98.0,5,DISTRICT21,VIAL,16.0
ACT-SC,2024-05-01,HEALTH CENTER,2160.0,3.0,730.0,310.0,,20.0,-308,531.0,30,DISTRICT4,BLISTER,20.0
QUIN,2025-08-01,HEALTH CENTER,730.0,158.0,88.0,373.0,,89.0,286,29.0,1000,DISTRICT26,TABLET,89.0
ACT-AD,2024-05-01,HEALTH CENTER,1398.0,864.0,126.0,2432.0,1245.0,16.0,-93,56.0,30,DISTRICT26,BLISTER,-1229.0
ART-INJ,2024-08-01,HEALTH CENTER,1904.0,1135.0,642.0,4393.0,,1.0,98,374.0,5,DISTRICT37,VIAL,1.0
ITN,2025-05-01,HEALTH CENTER,836.0,883.0,364.0,980.0,758.0,1707.0,531,477.0,50,DISTRICT31,PIECE,949.0
ACT-AD,2024-08-01,HEALTH CENTER,20.0,6.0,28.0,64.0,473.0,2.0,-481,10.0,30,DISTRICT4,BLISTER,-471.0
SP,2025-02-01,HEALTH CENTER,1295.0,21.0,217.0,901.0,,94.0,-510,80.0,1000,DISTRICT14,TABLET,94.0
ACT-INF,2024-02-01,HEALTH CENTER,320.0,553.0,213.0,1163.0,,0.0,460,189.0,30,DISTRICT26,BLISTER,0.0
ART-INJ,2025-08-01,HEALTH CENTER,315.0,2085.0,468.0,1780.0,,0.0,-341,243.0,5,DISTRICT25,VIAL,0.0
ART-SUP,2024-08-01,HEALTH CENTER,996.0,0.0,250.0,2811.0,,64.0,271,438.0,2,DISTRICT6,CAPSULE,64.0
PYRA-COMP,2024-08-01,HEALTH CENTER,370.0,189.0,360.0,651.0,,853.0,415,61.0,1,DISTRICT16,TABLET,853.0
RDT,2024-11-01,HEALTH CENTER,356.0,40.0,353.0,1401.0,702.0,0.0,-274,128.0,25,DISTRICT13,PIECE,-702.0
ACT-INF,2025-02-01,HEALTH CENTER,273.0,86.0,188.0,147.0,,2076.0,507,148.0,30,DISTRICT11,BLISTER,2076.0
ART-SUP,2025-05-01,HEALTH CENTER,0.0,0.0,2.0,1.0,,0.0,-182,1.0,2,DISTRICT19,CAPSULE,0.0
ACT-AD,2024-05-01,HEALTH CENTER,2951.0,95.0,834.0,2411.0,,1015.0,-226,1044.0,30,DISTRICT32,BLISTER,1015.0
ACT-GC,2025-02-01,HEALTH CENTER,1202.0,0.0,134.0,1910.0,481.0,331.0,-190,305.0,30,DISTRICT32,BLISTER,-150.0
RDT,2025-11-01,HEALTH CENTER,760.0,0.0,117.0,178.0,,0.0,274,44.0,25,DISTRICT7,PIECE,0.0
PYRA-SAC,2025-02-01,HEALTH CENTER,4805.0,2756.0,850.0,5423.0,1285.0,2107.0,437,1163.0,1,DISTRICT35,SACHET,822.0
ACT-SC,2024-05-01,HEALTH CENTER,27.0,148.0,108.0,281.0,,822.0,-614,54.0,30,DISTRICT15,BLISTER,822.0
ART-INJ,2025-11-01,HEALTH CENTER,2646.0,218.0,186.0,2784.0,232.0,1.0,662,299.0,5,DISTRICT25,VIAL,-231.0
ACT-GC,2024-02-01,HEALTH CENTER,7.0,21.0,3.0,1.0,388.0,0.0,335,0.0,30,DISTRICT36,BLISTER,-388.0
ART-SUP,2024-08-01,HEALTH CENTER,2675.0,22.0,430.0,2276.0,,78.0,-506,582.0,2,DISTRICT33,CAPSULE,78.0
QUIN,2024-08-01,HEALTH CENTER,6.0,0.0,116.0,6.0,294.0,0.0,40,51.0,1000,DISTRICT9,TABLET,-294.0
QUIN,2024-02-01,HEALTH CENTER,1365.0,198.0,435.0,2624.0,,13.0,-210,162.0,1000,DISTRICT5,TABLET,13.0
ITN,2025-11-01,HEALTH CENTER,169.0,14.0,60.0,94.0,,391.0,292,46.0,50,DISTRICT20,PIECE,391.0
ITN,2025-05-01,HEALTH CENTER,423.0,1.0,250.0,636.0,,2.0,381,106.0,50,DISTRICT33,PIECE,2.0
PYRA-SAC,2025-02-01,HEALTH CENTER,391.0,64.0,213.0,427.0,1088.0,448.0,172,287.0,1,DISTRICT20,SACHET,-640.0
ACT-SC,2025-08-01,HEALTH CENTER,207.0,1.0,76.0,165.0,648.0,184.0,185,67.0,30,DISTRICT2,BLISTER,-464.0
RDT,2025-05-01,HEALTH CENTER,6993.0,30.0,2325.0,2128.0,705.0,556.0,-401,2196.0,25,DISTRICT23,PIECE,-149.0
ART-SUP,2025-11-01,HEALTH CENTER,8.0,331.0,58.0,53.0,,183.0,-139,59.0,2,DISTRICT37,CAPSULE,183.0
RDT,2025-11-01,HEALTH CENTER,2975.0,0.0,396.0,1302.0,,0.0,-57,165.0,25,DISTRICT15,PIECE,0.0
ACT-INF,2024-11-01,HEALTH CENTER,1737.0,7.0,121.0,932.0,705.0,249.0,85,45.0,30,DISTRICT6,BLISTER,-456.0
ACT-AD,2025-05-01,HEALTH CENTER,358.0,7.0,111.0,1244.0,,10.0,547,23.0,30,DISTRICT16,BLISTER,10.0
ART-SUP,2025-11-01,HEALTH CENTER,2530.0,2516.0,424.0,4338.0,,117.0,367,729.0,2,DISTRICT28,CAPSULE,117.0
QUIN,2025-05-01,HEALTH CENTER,1055.0,1.0,136.0,942.0,478.0,467.0,-5,54.0,1000,DISTRICT19,TABLET,-11.0
PYRA-COMP,2025-02-01,HEALTH CENTER,1202.0,403.0,130.0,660.0,,0.0,821,123.0,1,DISTRICT15,TABLET,0.0
PYRA-COMP,2024-08-01,HEALTH CENTER,1366.0,1339.0,605.0,2649.0,,185.0,-81,1013.0,1,DISTRICT23,TABLET,185.0
SP,2025-08-01,HEALTH CENTER,227.0,471.0,267.0,461.0,480.0,48.0,-364,72.0,1000,DISTRICT36,TABLET,-432.0
QUIN,2025-05-01,DISTRICT HOSPITAL,513.0,1.0,61.0,393.0,,64.0,375,34.0,1000,DISTRICT23,TABLET,64.0
ITN,2024-02-01,HEALTH CENTER,18.0,8.0,7.0,8.0,,471.0,-119,6.0,50,DISTRICT36,PIECE,471.0
SP,2025-02-01,HEALTH CENTER,91.0,8.0,78.0,1329.0,,0.0,-365,106.0,1000,DISTRICT29,TABLET,0.0
SP,2025-02-01,HEALTH CENTER,6082.0,59.0,2406.0,5992.0,,1274.0,-307,2421.0,1000,DISTRICT33,TABLET,1274.0
PYRA-SAC,2025-08-01,HEALTH CENTER,1842.0,37.0,263.0,1158.0,,0.0,3,46.0,1,DISTRICT16,SACHET,0.0
PYRA-SAC,2025-02-01,HEALTH CENTER,1334.0,540.0,365.0,1002.0,,7.0,-198,348.0,1,DISTRICT31,SACHET,7.0
ACT-AD,2024-05-01,HEALTH CENTER,136.0,47.0,148.0,497.0,1621.0,3343.0,172,386.0,30,DISTRICT32,BLISTER,1722.0
ACT-AD,2025-08-01,HEALTH CENTER,426.0,13.0,516.0,308.0,,53.0,-237,1069.0,30,DISTRICT19,BLISTER,53.0
QUIN,2024-05-01,HEALTH CENTER,1978.0,0.0,293.0,916.0,,36.0,108,140.0,1000,DISTRICT25,TABLET,36.0
ART-INJ,2024-08-01,HEALTH CENTER,29.0,0.0,60.0,69.0,826.0,0.0,350,1.0,5,DISTRICT29,VIAL,-826.0
ACT-INF,2024-11-01,HEALTH CENTER,4053.0,4.0,1016.0,1576.0,,0.0,-531,451.0,30,DISTRICT32,BLISTER,0.0
ART-SUP,2024-02-01,HEALTH CENTER,3566.0,0.0,116.0,3095.0,,4.0,-36,52.0,2,DISTRICT20,CAPSULE,4.0
ACT-SC,2024-02-01,HEALTH CENTER,152.0,0.0,40.0,340.0,,0.0,328,24.0,30,DISTRICT20,BLISTER,0.0
ART-SUP,2024-08-01,HEALTH CENTER,1960.0,0.0,158.0,913.0,,8.0,555,173.0,2,DISTRICT32,CAPSULE,8.0
ACT-GC,2024-05-01,HEALTH CENTER,321.0,335.0,273.0,533.0,1715.0,676.0,-107,99.0,30,DISTRICT28,BLISTER,-1039.0
QUIN,2025-05-01,HEALTH CENTER,485.0,0.0,102.0,264.0,,2.0,796,56.0,1000,DISTRICT23,TABLET,2.0
PYRA-COMP,2024-11-01,DISTRICT HOSPITAL,713.0,0.0,91.0,749.0,,0.0,-176,129.0,1,DISTRICT5,TABLET,0.0
ART-INJ,2025-11-01,HEALTH CENTER,256.0,357.0,715.0,1324.0,1249.0,1412.0,404,305.0,5,DISTRICT9,VIAL,163.0
PYRA-COMP,2025-05-01,HEALTH CENTER,5341.0,11.0,697.0,4306.0,,444.0,31,367.0,1,DISTRICT24,TABLET,444.0
RDT,2025-08-01,HEALTH CENTER,979.0,3.0,310.0,475.0,,1.0,629,46.0,25,DISTRICT26,PIECE,1.0
ITN,2025-05-01,HEALTH CENTER,290.0,1634.0,227.0,1572.0,,22.0,24,324.0,50,DISTRICT15,PIECE,22.0
ART-SUP,2025-08-01,HEALTH CENTER,1165.0,21.0,269.0,574.0,,0.0,650,84.0,2,DISTRICT2,CAPSULE,0.0
SP,2025-11-01,HEALTH CENTER,545.0,1.0,71.0,740.0,,12.0,653,88.0,1000,DISTRICT13,TABLET,12.0
RDT,2024-08-01,HEALTH CENTER,4486.0,757.0,669.0,4243.0,,5.0,68,588.0,25,DISTRICT25,PIECE,5.0
PYRA-SAC,2024-08-01,HEALTH CENTER,2852.0,12.0,642.0,4145.0,,3004.0,-5,723.0,1,DISTRICT36,SACHET,3004.0
PYRA-COMP,2025-08-01,HEALTH CENTER,18.0,0.0,23.0,25.0,,1.0,-684,3.0,1,DISTRICT9,TABLET,1.0
ART-SUP,2025-11-01,HEALTH CENTER,1350.0,1172.0,192.0,3099.0,,7.0,70,384.0,2,DISTRICT29,CAPSULE,7.0
QUIN,2024-11-01,HEALTH CENTER,160.0,43.0,406.0,570.0,1758.0,9543.0,259,199.0,1000,DISTRICT15,TABLET,7785.0
PYRA-COMP,2025-05-01,DISTRICT HOSPITAL,2174.0,0.0,309.0,465.0,951.0,1180.0,-484,125.0,1,DISTRICT31,TABLET,229.0
PYRA-SAC,2024-05-01,HEALTH CENTER,3911.0,221.0,538.0,6167.0,342.0,0.0,-19,232.0,1,DISTRICT13,SACHET,-342.0
ART-SUP,2025-05-01,HEALTH CENTER,698.0,7.0,322.0,160.0,,2610.0,304,560.0,2,DISTRICT26,CAPSULE,2610.0
SP,2024-05-01,HEALTH CENTER,1562.0,333.0,505.0,1795.0,,0.0,704,231.0,1000,DISTRICT4,TABLET,0.0
QUIN,2025-05-01,HEALTH CENTER,342.0,10.0,445.0,1528.0,,283.0,72,370.0,1000,DISTRICT38,TABLET,283.0
QUIN,2024-05-01,HEALTH CENTER,40.0,3.0,68.0,256.0,535.0,0.0,31,2.0,1000,DISTRICT1,TABLET,-535.0
SP,2025-11-01,HEALTH CENTER,11.0,7.0,33.0,39.0,285.0,0.0,-308,19.0,1000,DISTRICT19,TABLET,-285.0
ACT-SC,2024-02-01,DISTRICT HOSPITAL,1116.0,376.0,542.0,1440.0,,2.0,307,365.0,30,DISTRICT30,BLISTER,2.0
ITN,2025-05-01,HEALTH CENTER,2462.0,637.0,214.0,1080.0,,0.0,-198,55.0,50,DISTRICT15,PIECE,0.0
ACT-AD,2025-02-01,HEALTH CENTER,1680.0,5.0,239.0,1052.0,,21.0,-891,275.0,30,DISTRICT31,BLISTER,21.0
ACT-GC,2024-08-01,HEALTH CENTER,1418.0,215.0,824.0,2224.0,,240.0,222,774.0,30,DISTRICT37,BLISTER,240.0
QUIN,2025-02-01,HEALTH CENTER,52.0,89.0,21.0,640.0,371.0,0.0,-90,18.0,1000,DISTRICT33,TABLET,-371.0
RDT,2024-02-01,HEALTH CENTER,1392.0,1506.0,169.0,3782.0,,0.0,-17,107.0,25,DISTRICT3,PIECE,0.0
ART-SUP,2024-02-01,HEALTH CENTER,1474.0,3.0,119.0,864.0,,7.0,-23,65.0,2,DISTRICT8,CAPSULE,7.0
RDT,2024-11-01,HEALTH CENTER,1914.0,332.0,588.0,1657.0,,3214.0,-206,301.0,25,DISTRICT21,PIECE,3214.0
ITN,2025-02-01,DISTRICT HOSPITAL,3333.0,1153.0,562.0,2609.0,1013.0,9.0,12,520.0,50,DISTRICT31,PIECE,-1004.0
PYRA-COMP,2025-08-01,HEALTH CENTER,334.0,3.0,127.0,792.0,,27.0,-503,166.0,1,DISTRICT3,TABLET,27.0
ART-SUP,2025-08-01,HEALTH CENTER,113.0,304.0,123.0,983.0,,0.0,470,21.0,2,DISTRICT32,CAPSULE,0.0
RDT,2025-08-01,HEALTH CENTER,2806.0,112.0,513.0,1704.0,,9047.0,-213,344.0,25,DISTRICT36,PIECE,9047.0
PYRA-SAC,2025-02-01,HEALTH CENTER,69.0,91.0,260.0,71.0,,24.0,3,448.0,1,DISTRICT32,SACHET,24.0
ACT-GC,2025-11-01,HEALTH CENTER,316.0,9.0,147.0,446.0,,0.0,439,146.0,30,DISTRICT16,BLISTER,0.0
PYRA-COMP,2024-08-01,HEALTH CENTER,1558.0,0.0,24.0,318.0,202.0,6.0,-330,1.0,1,DISTRICT26,TABLET,-196.0
ACT-AD,2025-05-01,HEALTH CENTER,9.0,312.0,2.0,38.0,453.0,0.0,-179,6.0,30,DISTRICT31,BLISTER,-453.0
ACT-AD,2025-11-01,HEALTH CENTER,989.0,43.0,395.0,1503.0,,536.0,-348,204.0,30,DISTRICT13,BLISTER,536.0
ACT-INF,2025-05-01,HEALTH CENTER,866.0,9.0,220.0,1601.0,218.0,54.0,228,140.0,30,DISTRICT24,BLISTER,-164.0
ACT-GC,2025-08-01,HEALTH CENTER,540.0,303.0,684.0,1788.0,,126.0,-186,476.0,30,DISTRICT15,BLISTER,126.0
ART-SUP,2024-08-01,HEALTH CENTER,1084.0,600.0,529.0,2421.0,695.0,208.0,33,439.0,2,DISTRICT12,CAPSULE,-487.0
